Zone code,Zone ID,Flow,Annual Total(GWh),M[12][1][2]H[0][1][2],M[12][1][2]H[3][4][5],M[12][1][2]H[6][7][8],M[12][1][2]H[9][10][11],M[12][1][2]H[12][13][14],M[12][1][2]H[15][16][17],M[12][1][2]H[18][19][20],M[12][1][2]H[21][22][23],M[3][4][5]H[0][1][2],M[3][4][5]H[3][4][5],M[3][4][5]H[6][7][8],M[3][4][5]H[9][10][11],M[3][4][5]H[12][13][14],M[3][4][5]H[15][16][17],M[3][4][5]H[18][19][20],M[3][4][5]H[21][22][23],M[6][7][8]H[0][1][2],M[6][7][8]H[3][4][5],M[6][7][8]H[6][7][8],M[6][7][8]H[9][10][11],M[6][7][8]H[12][13][14],M[6][7][8]H[15][16][17],M[6][7][8]H[18][19][20],M[6][7][8]H[21][22][23],M[9][10][11]H[0][1][2],M[9][10][11]H[3][4][5],M[9][10][11]H[6][7][8],M[9][10][11]H[9][10][11],M[9][10][11]H[12][13][14],M[9][10][11]H[15][16][17],M[9][10][11]H[18][19][20],M[9][10][11]H[21][22][23]
TWN.Central,TWNZ0,Demand(GWh),87098.64541858072,2534.219,2626.150,2606.292,2674.899,2653.335,2288.024,2090.243,2253.806,2774.807,2950.525,2964.540,2949.078,2882.566,2507.736,2299.419,2468.844,2983.203,3260.262,3317.413,3224.322,3072.449,2689.124,2479.582,2648.649,2775.812,2979.157,3005.412,2989.507,2880.639,2502.411,2299.816,2466.406
TWN.Central,TWNZ0,Residual Demand(GWh),0,1784.756,1463.166,1877.164,2578.954,2609.756,2252.607,2054.077,2175.591,1909.182,1738.032,2149.118,2806.179,2856.631,2485.071,2275.924,2319.789,2224.306,2254.475,2666.946,3094.378,3045.901,2661.366,2452.082,2486.744,2029.740,1846.575,2276.758,2886.721,2841.317,2468.502,2266.026,2361.041
TWN.Central,TWNZ0,Zone Supply(GWh),89302.55497092844,2942.077,3362.468,2947.998,2319.183,2250.196,2229.527,2228.575,2274.116,3351.594,3705.612,3315.147,2638.824,2512.374,2514.425,2522.295,2643.224,3244.069,3489.273,3135.476,2614.074,2508.891,2522.584,2523.158,2654.350,3230.459,3618.342,3224.752,2599.310,2528.268,2525.056,2529.310,2597.546
TWN.Central,TWNZ0,Spilled Energy(GWh),0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TWN.Central,TWNZ0,Import from: TWNZ1,62.380723179162054,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,62.381,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TWN.Central,TWNZ0,Import from: TWNZ2,864.4307756492979,0.000,0.000,0.000,0.000,43.482,0.000,0.000,0.000,0.000,0.000,0.000,0.000,42.726,0.000,0.000,0.000,0.000,0.000,0.000,179.560,248.804,0.000,0.000,0.000,0.000,0.000,0.000,103.759,246.100,0.000,0.000,0.000
TWN.Central,TWNZ0,Import from: TWNZ3,2835.835270667027,0.000,0.000,0.000,355.716,359.657,58.497,0.000,0.000,0.000,0.000,0.000,310.254,327.466,0.000,0.000,0.000,0.000,0.000,119.556,430.688,314.754,166.539,0.000,0.000,0.000,0.000,0.000,286.438,106.271,0.000,0.000,0.000
TWN.Central,TWNZ0,Import from: TWNZF1,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TWN.Central,TWNZ0,Export to: TWNZ3,283.2276519194519,0.000,127.297,0.000,0.000,0.000,0.000,0.000,0.000,0.000,132.532,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,23.398,0.000,0.000,0.000,0.000,0.000,0.000
TWN.Central,TWNZ0,Export to: TWNZ2,5605.68845931587,407.858,609.021,341.706,0.000,0.000,0.000,91.620,0.000,576.788,622.554,350.607,0.000,0.000,0.000,222.876,174.379,260.866,229.012,0.000,0.000,0.000,0.000,39.647,5.701,454.647,615.787,219.341,0.000,0.000,22.645,229.494,131.140
TWN.Central,TWNZ0,Export to: TWNZ1,77.64021060786229,0.000,0.000,0.000,0.000,0.000,0.000,46.713,20.310,0.000,0.000,0.000,0.000,0.000,6.689,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.929,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TWN.East,TWNZ1,Demand(GWh),15687.479148832126,447.869,464.738,461.353,473.342,469.294,403.907,368.473,397.767,499.346,539.685,545.990,537.061,517.360,449.275,411.716,442.074,542.351,597.500,610.098,589.358,557.340,488.108,450.442,480.724,498.712,538.722,544.950,539.608,516.869,448.746,412.438,442.261
TWN.East,TWNZ1,Residual Demand(GWh),0,77.155,-110.002,105.931,417.602,424.747,358.161,325.678,334.018,-13.331,-153.533,84.218,449.590,490.705,422.519,385.691,339.747,84.408,3.532,210.745,496.283,527.575,459.499,420.960,368.879,53.471,-103.947,136.686,473.118,478.035,409.909,375.202,364.408
TWN.East,TWNZ1,Zone Supply(GWh),17191.24250840742,502.641,703.604,480.181,328.981,322.320,326.209,322.084,343.022,779.131,962.321,730.695,500.561,440.176,442.633,411.716,442.074,724.950,863.752,672.914,529.056,445.039,444.856,446.541,480.724,715.356,914.260,678.004,479.544,454.454,448.746,412.438,442.261
