Zone Code,ZoneID,Technology,Item,Installed Capacity(MW),M12*1*2H0--3,M12*1*2H3--6,M12*1*2H6--9,M12*1*2H9--12,M12*1*2H12--15,M12*1*2H15--18,M12*1*2H18--21,M12*1*2H21--0,M3*4*5H0--3,M3*4*5H3--6,M3*4*5H6--9,M3*4*5H9--12,M3*4*5H12--15,M3*4*5H15--18,M3*4*5H18--21,M3*4*5H21--0,M6*7*8H0--3,M6*7*8H3--6,M6*7*8H6--9,M6*7*8H9--12,M6*7*8H12--15,M6*7*8H15--18,M6*7*8H18--21,M6*7*8H21--0,M9*10*11H0--3,M9*10*11H3--6,M9*10*11H6--9,M9*10*11H9--12,M9*10*11H12--15,M9*10*11H15--18,M9*10*11H18--21,M9*10*11H21--0
CRI.All,CRIZ0,COA_SUB,Gross Output,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CRI.All,CRIZ0,COA_SUB,Net Output,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CRI.All,CRIZ0,COA_SUB,AS T1,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CRI.All,CRIZ0,COA_SUB,AS T2,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CRI.All,CRIZ0,COA_SUB,AS T3,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CRI.All,CRIZ0,GAS_OCGT,Gross Output,30.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.60,27.60,0.00,0.00,0.00,0.00,27.60,27.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CRI.All,CRIZ0,GAS_OCGT,Net Output,30.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.67,25.67,0.00,0.00,0.00,0.00,25.67,25.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CRI.All,CRIZ0,GAS_OCGT,AS T1,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CRI.All,CRIZ0,GAS_OCGT,AS T2,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.84,24.84,0.00,0.00,0.00,0.00,0.00,0.00
CRI.All,CRIZ0,GAS_OCGT,AS T3,,0.00,0.00,0.00,0.00,24.84,24.84,24.84,0.00,0.00,0.00,24.29,23.74,0.00,24.84,0.00,0.00,0.00,24.84,24.27,0.00,0.00,24.84,0.00,24.84,0.00,0.00,0.00,23.70,24.84,24.84,0.00,24.84
CRI.All,CRIZ0,OIL_ST,Gross Output,683.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,151.02,19.88,0.00,0.00,0.00,0.00,37.18,74.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
